dim	coefficient
211	-0.029575277
212	0.04480548
213	-0.06415175
214	-0.028729757
215	-0.12368783
216	0.04908671
217	0.04519901
218	-0.0029442552
219	-0.05067562
220	-0.07412298
221	-0.068196476
222	0.060093977
223	-0.007042775
224	-0.009539959
225	0.004047632
226	-0.020573622
227	-0.07837899
228	-0.025612019
229	-0.08150405
230	0.072965525
231	-0.029631123
232	-0.087274246
233	-0.042059693
234	0.024185756
235	-0.023156175
236	0.029171262
237	0.054135613
238	0.021975454
239	0.016426189
240	0.014154714
241	-0.029994264
242	-0.06477729
243	-0.083953716
244	0.05484855
245	-0.0010573268
246	-0.045024447
247	0.025442049
248	-0.029847411
249	-0.087476924
250	0.01489844
251	-0.002316149
252	-0.04928493
253	0.029696204
254	0.09527166
255	-0.02586566
256	0.05913875
257	-0.049041495
258	0.07209862
259	-0.077206135
260	0.028333616
261	0.012030205
262	0.011154477
263	0.075145096
264	0.0688307
265	0.011714666
266	0.032509666
267	0.1055912
268	0.06502843
269	-0.0012132498
270	-0.00054048654
271	-0.0331885
272	-0.045944102
273	-0.11783688
274	0.015440772
275	0.01897424
276	0.0946254
277	-0.012813233
278	-0.07133744
279	0.111963965
280	-0.06494217
281	0.02046363
282	0.107720405
283	-0.10327563
284	-0.089533225
285	0.055611096
286	0.010705118
287	-0.015513032
288	-0.042186502
289	0.008947428
290	0.020768154
291	-0.03557093
292	-0.036119282
293	-0.10597591
294	0.080864295
295	-0.005795081
296	-0.007044642
297	0.01948018
298	0.0819131
299	0.003264878
300	0.02815019
301	0.074570775
302	-0.06788716
303	0.06392981
304	-0.00024458393
305	0.043216445
306	0.05450799
307	-0.07543618
308	0.041733317
309	0.017861161
310	0.047801726
311	0.009473003
312	0.03172647
313	-0.030954298
314	-0.040871352
315	0.0062976177
316	0.05020362
317	-0.03511053
318	0.03585017
319	-0.032428637
320	0.013669087
321	0.015721835
322	0.036385823
323	-0.013856725
324	0.036228698
325	-0.06776414
326	-0.020135302
327	-0.015029835
328	0.09645373
329	0.028310284
330	-0.029360715
331	-0.013540849
332	-0.092219815
333	-0.009462008
334	0.028596781
335	-0.032187928
336	-0.0061913626
337	-0.05445887
338	0.022439457
339	0.026738184
340	-0.07379113
341	0.05593123
342	0.03273414
343	-0.0008999971
344	0.06747063
345	-0.072550595
346	0.027511341
347	0.07218953
348	0.085876696
349	-0.019186089
350	0.026485939
351	-0.08030671
352	0.029534718
353	-0.14227904
354	-0.015541882
355	0.012921056
356	-0.0013579596
357	0.010469954
358	0.029449832
359	-0.17210883
360	-0.00025521498
361	0.019680511
362	0.042837657
363	-0.058271702
364	-0.09541895
365	-0.011063978
366	0.005387418
367	0.06664622
368	0.053940862
369	-0.055595648
370	-0.06959733
371	-0.09579569
372	0.025925998
373	0.03724297
374	-0.0064494843
375	0.058198072
376	-0.017280625
377	0.05273236
378	0.03629073
379	0.00047008833
380	-0.0050705904
381	0.010568511
382	0.0020857286
383	0.03466068
384	-0.021407457
385	0.07077146
386	0.0072555393
387	0.10035357
388	-0.031766467
389	0.049712934
390	-0.017213475
391	-0.0077917506
392	0.01684323
393	-0.063418046
394	0.041936934
395	-0.018841956
396	0.04609796
397	-0.013350913
398	0.054913603
399	0.06676958
400	0.031356357
401	0.025673866
402	0.039712492
403	-0.006566344
404	0.0062309857
405	-0.04740183
406	-0.00870881
407	0.081398435
408	0.004935881
409	0.0073266164
410	0.015631596
411	-0.0107288845
412	0.10098396
413	-0.0010823312
414	-0.03825893
415	-0.04565398
416	0.077558056
417	0.10693307
418	-0.021621063
419	0.032367002
420	-0.043973573
421	0.019776104
422	0.010733653
423	0.01273495
424	0.0077564623
425	-0.043205623
426	0.039189227
427	0.012878555
428	0.114239685
429	0.07968412
430	0.006362185
431	-0.016782964
432	0.020475388
433	0.014736073
434	-0.044444382
435	0.042637806
436	0.0039192066
437	-0.0687082
438	-0.017870892
439	-0.039414182
440	-0.011956552
441	-0.015010629
442	-0.016995903
443	0.010041278
444	0.02682031
445	-0.02771058
446	-0.0076451395
447	0.06422747
448	0.060212743
449	-0.06628976
450	0.02503841
451	0.05109799
452	-0.12949847
453	-0.071131125
454	0.055190302
455	0.030523159
456	-0.043314435
457	-0.1011771
458	0.04620233
459	-0.045027032
460	0.03409654
461	-0.04326091
462	0.041094035
463	-0.069001585
464	-0.056323815
465	-0.019198775
466	0.014055301
467	0.04624857
468	0.034813963
469	0.047529854
470	-0.07401257
471	-0.04261338
472	0.0048557837
473	-0.013343315
474	0.026555413
475	0.10391379
476	0.060485587
477	0.044071898
478	0.042359315
479	0.049497448
480	0.12100818
481	-0.0076033534
482	-0.06908281
483	-0.06316085
484	0.027665596
485	0.028597292
486	-0.04572708
487	0.027807608
488	-0.05870221
489	0.055366326
490	-0.05707984
491	0.003757034
492	0.0010507754
493	0.061200134
494	-0.029590432
495	-0.051770665
496	-0.0828961
497	0.015943438
498	0.021396615
499	-0.00022334815
500	-0.03133934
501	0.034297716
502	-0.022753857
503	0.008101361
504	0.03461857
505	0.06611851
506	0.10499727
507	0.02214266
508	-0.04408255
509	-0.02676231
510	-0.027217109
511	0.018119013
512	-0.05525008
513	0.047298267
514	-0.031533167
515	0.061422814
516	0.002073288
517	0.06822297
518	-0.04826753
519	0.058898613
520	-0.049752805
521	0.029157484
522	-0.00823406
523	0.042446624
524	-0.047350444
525	0.03559785
526	-0.046659738
527	0.06438738
528	0.028969202
529	-0.017641291
530	-0.056796983
531	0.03143575
532	0.036156848
533	-0.055096317
534	0.013203365
535	-0.039016835
536	0.020719426
537	-0.018815007
538	0.040517002
539	-0.02649821
540	-0.11367678
541	0.014163508
542	-0.07882333
543	0.0012161173
544	-0.03741488
545	0.022519253
546	0.029464262
547	-0.088626176
548	-0.017549064
549	0.07635305
550	0.06385314
551	0.0011397898
552	0.034038387
553	0.0376701
554	-0.047614485
555	-0.058903754
556	0.004126891
557	-0.029088318
558	-0.013060363
559	-0.0802275
560	-0.013750451
561	-0.010699428
562	-0.021568669
563	0.022423537
564	0.017309442
565	0.0074469727
566	-0.03054409
567	-0.039836988
568	0.07864153
569	-0.04232571
570	0.0406577
571	0.038972735
572	0.05951083
573	0.11195317
574	0.04715981
575	-0.022057962
576	0.005424733
577	0.05199281
578	-0.037917577
579	-0.0015936382
580	0.01857581
581	-0.06648781
582	-0.0113257915
583	0.10422759
584	-0.107818864
585	0.046258703
586	0.064056985
587	0.015395705
588	0.035017475
589	0.017175408
590	0.055205233
591	-0.10790913
592	0.0141733065
593	-0.08610535
594	-0.017758166
595	0.015744003
596	0.013112323
597	-0.16935441
598	0.02910983
599	-0.03668956
600	-0.0048251627
601	0.048859395
602	-0.029732043
603	0.021493234
604	-0.016399752
605	0.005424427
606	-0.06918028
607	0.015236886
608	0.06481198
609	0.0045354366
610	0.06795165
611	0.07273588
612	0.026186898
613	-0.033169605
614	-0.011673691
615	-0.014882
616	-0.02208574
617	0.0001894068
618	-0.050595134
619	0.013553744
620	0.008090981
621	0.09549488
622	0.04965584
623	0.039807223
624	0.03004742
625	-0.068596095
626	-0.028567754
627	0.019113686
628	-0.07143941
629	-0.033122465
630	-0.0034636725
631	0.076625384
632	0.08597016
633	0.038837377
634	-0.03189024
635	-0.034958623
636	-0.04698728
637	0.0454464
638	-0.0064476696
639	-0.06328224
640	-0.05526736
641	0.0110123325
642	-0.045301754
643	-0.057610862
644	-0.030383013
645	-0.01575515
646	-0.07327983
647	-0.056067895
648	0.02419533
649	-0.031001138
650	-0.05698907
651	-0.031720556
652	0.07698626
653	-0.020388514
654	0.08196643
655	-0.091054335
656	0.07447326
657	-0.08663006
658	-0.050501492
659	-0.004061877
660	0.099263236
661	-0.003846502
662	-0.0614077
663	-0.017553832
664	0.0046424055
665	-0.024168491
666	-0.09669999
667	-0.0072125555
668	0.013399278
669	0.10273073
670	-0.067939475
671	-0.010260092
672	0.053292364
673	0.016107604
674	0.04390854
675	0.013462824
676	-0.056941845
677	-0.011361485
678	0.010258943
679	-0.004789284
680	0.047547437
681	-0.010762565
682	-0.037736993
683	0.03680692
684	0.057871103
685	-0.10640769
686	0.0059663383
687	-0.0318828
688	0.03096189
689	-0.069341674
690	0.09420928
691	0.0076938653
692	-0.056271248
693	0.06602797
694	0.16250674
695	0.03241631
696	0.068830505
697	-0.035840746
698	-0.054060802
699	-0.08012418
700	-0.037468825
701	-0.054796774
702	-0.017592927
703	-0.033529937
704	0.16860716
705	-0.03513152
706	-0.0015541892
707	-0.06933301
708	-0.0018684228
709	0.022158673
710	0.06971507
711	-0.03467519
712	0.052766774
713	0.080854945
714	-0.021631517
715	0.09674003
716	0.01146204
717	0.028612163
718	-0.024404008
719	-0.0208847
720	0.0067884102
721	-0.06758404
722	0.13255027
723	0.04364643
724	-0.107431054
725	0.00055220723
726	0.05223677
727	0.034027785
728	0.05406099
729	-0.044354133
730	0.02857555
731	-0.02613588
732	0.044579905
733	-0.009525749
734	-0.018446974
